CALIBRATION VALUES V2.1;,;*

;Cxm_cyl_fill_mdl_cor_1
*
MAP;Cxb_cyl_fill_eng_spd
::;Cxb_cyl_fill_intk_mfld_prs;600;750;1000;1250;1500;1750;2100;2500;3000;3500;4000;4500;5000;5500;6000;6500
;12;0,6749754;0,69865;0,7303153;0,7247983;0,6940696;0,6605523;0,634177;0,6558924;0,7052191;0,7516681;0,8021142;0,8008691;0,7712917;0,723115;0,6730991;0,6552517
;24;0,6621237;0,6906034;0,7395526;0,7274309;0,6981251;0,6792983;0,672623;0,7073543;0,7477173;0,7842579;0,8211089;0,8094302;0,7838315;0,7437218;0,6924659;0,6770389
;36;0,6603894;0,6834728;0,7195212;0,7226205;0,7100066;0,7055559;0,7177835;0,7535179;0,7867428;0,8175311;0,836028;0,818858;0,7958942;0,7642108;0,7154153;0,696427
;48;0,6712657;0,6842559;0,705356;0,7185784;0,7270877;0,7393199;0,7608331;0,7879438;0,8147188;0,8404728;0,8509719;0,8334807;0,8151536;0,7876614;0,7541506;0,7148469
;66;0,7235988;0,7235594;0,7252584;0,7459289;0,767178;0,7870741;0,8082659;0,822718;0,8389241;0,8577054;0,8585089;0,8432113;0,8279253;0,8033702;0,771428;0,7388347
;84;0,7913781;0,7931787;0,7976756;0,8087125;0,8202397;0,8306442;0,8426799;0,8508094;0,8540729;0,8614931;0,8568759;0,8428718;0,8257483;0,8013037;0,7688284;0,7546995
;102;0,8606998;0,8632653;0,8670236;0,8636381;0,8612538;0,8608922;0,8632899;0,8662756;0,865216;0,8622125;0,8502986;0,838877;0,8190844;0,7939203;0,7627048;0,7554023
;120;0,9011071;0,9026708;0,9043515;0,8939166;0,8839193;0,8766183;0,8722296;0,8712684;0,870424;0,8628012;0,8443436;0,83331;0,8120771;0,7881968;0,7565199;0,7489641
;144;0,9066933;0,9060379;0,9044885;0,8998022;0,8933008;0,8860831;0,8795172;0,8740582;0,865637;0,8592214;0,8427722;0,8336199;0,8118613;0,784078;0,7544001;0,7422335
;168;0,8898759;0,8907592;0,8928835;0,8933041;0,8927246;0,8882504;0,8811886;0,877628;0,8636287;0,8610364;0,8476752;0,8359963;0,8110383;0,7778204;0,7440555;0,7260159
;192;0,8934174;0,8946402;0,8966677;0,8981533;0,897617;0,8942516;0,8855516;0,8783451;0,871479;0,8696809;0,8543439;0,8378792;0,8093625;0,7753874;0,7388663;0,704275
;216;0,8993692;0,9013926;0,9048458;0,9084662;0,9114046;0,9111253;0,8936906;0,8810603;0,8741388;0,8719259;0,8607304;0,8506899;0,8236896;0,7817619;0,7272288;0,6892976
;240;0,9125478;0,9114384;0,9094982;0,906994;0,903453;0,8986762;0,8904481;0,8819279;0,8722198;0,8764783;0,8702605;0,8576393;0,82839;0,7904488;0,7413708;0,6835028
;264;0,9253283;0,9202681;0,9117921;0,9031176;0,8941567;0,8844892;0,8767622;0,8717377;0,8647815;0,8780033;0,8740888;0,8599727;0,8311004;0,7878998;0,7341242;0,6793595
;288;0,9340064;0,9265677;0,9142884;0,9026707;0,8920074;0,8814345;0,8733726;0,8689917;0,8609988;0,8598485;0,8530083;0,8384743;0,8170466;0,7799445;0,7309216;0,6775276
;312;0,9403561;0,9316304;0,9172862;0,9040153;0,8922854;0,8812654;0,8730439;0,8689699;0,8598971;0,8543178;0,8458232;0,831471;0,8122397;0,7775843;0,7303006;0,6769497

;Cxb_cyl_fill_eng_spd
*
AXIS_PTS;;600;750;1000;1250;1500;1750;2100;2500;3000;3500;4000;4500;5000;5500;6000;6500

;Cxb_cyl_fill_intk_mfld_prs
*
AXIS_PTS;;12;24;36;48;66;84;102;120;144;168;192;216;240;264;288;312

;Cxm_cyl_fill_mdl_cor_1_vvl_intk_l_lift
*
MAP;Cxb_cyl_fill_eng_spd
::;Cxb_cyl_fill_intk_mfld_prs;600;750;1000;1250;1500;1750;2100;2500;3000;3500;4000;4500;5000;5500;6000;6500
;12;0,6749754;0,69865;0,7303153;0,7247983;0,6940696;0,6605523;0,634177;0,6558924;0,7052191;0,7516681;0,8021142;0,8008691;0,7712917;0,723115;0,6730991;0,6552517
;24;0,6621237;0,6906034;0,7395526;0,7274309;0,6981251;0,6792983;0,672623;0,7073543;0,7477173;0,7842579;0,8211089;0,8094302;0,7838315;0,7437218;0,6924659;0,6770389
;36;0,6603894;0,6834728;0,7195212;0,7226205;0,7100066;0,7055559;0,7177835;0,7535179;0,7867428;0,8175311;0,836028;0,818858;0,7958942;0,7642108;0,7154153;0,696427
;48;0,6712657;0,6842559;0,705356;0,7185784;0,7270877;0,7393199;0,7608331;0,7879438;0,8147188;0,8404728;0,8509719;0,8334807;0,8151536;0,7876614;0,7541506;0,7148469
;66;0,7235988;0,7235594;0,7252584;0,7459289;0,767178;0,7870741;0,8082659;0,822718;0,8389241;0,8577054;0,8585089;0,8432113;0,8279253;0,8033702;0,771428;0,7388347
;84;0,7913781;0,7931787;0,7976756;0,8087125;0,8202397;0,8306442;0,8426799;0,8508094;0,8540729;0,8614931;0,8568759;0,8428718;0,8257483;0,8013037;0,7688284;0,7546995
;102;0,8606998;0,8632653;0,8670236;0,8636381;0,8612538;0,8608922;0,8632899;0,8662756;0,865216;0,8622125;0,8502986;0,838877;0,8190844;0,7939203;0,7627048;0,7554023
;120;0,9011071;0,9026708;0,9043515;0,8939166;0,8839193;0,8766183;0,8722296;0,8712684;0,870424;0,8628012;0,8443436;0,83331;0,8120771;0,7881968;0,7565199;0,7489641
;144;0,9066933;0,9060379;0,9044885;0,8998022;0,8933008;0,8860831;0,8795172;0,8740582;0,865637;0,8592214;0,8427722;0,8336199;0,8118613;0,784078;0,7544001;0,7422335
;168;0,8898759;0,8907592;0,8928835;0,8933041;0,8927246;0,8882504;0,8811886;0,877628;0,8636287;0,8610364;0,8476752;0,8359963;0,8110383;0,7778204;0,7440555;0,7260159
;192;0,8934174;0,8946402;0,8966677;0,8981533;0,897617;0,8942516;0,8855516;0,8783451;0,871479;0,8696809;0,8543439;0,8378792;0,8093625;0,7753874;0,7388663;0,704275
;216;0,8993692;0,9013926;0,9048458;0,9084662;0,9114046;0,9111253;0,8936906;0,8810603;0,8741388;0,8719259;0,8607304;0,8506899;0,8236896;0,7817619;0,7272288;0,6892976
;240;0,9125478;0,9114384;0,9094982;0,906994;0,903453;0,8986762;0,8904481;0,8819279;0,8722198;0,8764783;0,8702605;0,8576393;0,82839;0,7904488;0,7413708;0,6835028
;264;0,9253283;0,9202681;0,9117921;0,9031176;0,8941567;0,8844892;0,8767622;0,8717377;0,8647815;0,8780033;0,8740888;0,8599727;0,8311004;0,7878998;0,7341242;0,6793595
;288;0,9340064;0,9265677;0,9142884;0,9026707;0,8920074;0,8814345;0,8733726;0,8689917;0,8609988;0,8598485;0,8530083;0,8384743;0,8170466;0,7799445;0,7309216;0,6775276
;312;0,9403561;0,9316304;0,9172862;0,9040153;0,8922854;0,8812654;0,8730439;0,8689699;0,8598971;0,8543178;0,8458232;0,831471;0,8122397;0,7775843;0,7303006;0,6769497

;Cxb_cyl_fill_eng_spd
*
AXIS_PTS;;600;750;1000;1250;1500;1750;2100;2500;3000;3500;4000;4500;5000;5500;6000;6500

;Cxb_cyl_fill_intk_mfld_prs
*
AXIS_PTS;;12;24;36;48;66;84;102;120;144;168;192;216;240;264;288;312

;Cxm_cyl_fill_mdl_cor_2
*
MAP;Cxb_cyl_fill_eng_spd
::;Cxb_cyl_fill_intk_mfld_prs;600;750;1000;1250;1500;1750;2100;2500;3000;3500;4000;4500;5000;5500;6000;6500
;12;6,06e-05;6,56e-05;7,38e-05;8,18e-05;8,94e-05;9,65e-05;0,0001051;0,0001121;0,0001163;0,0001153;0,0001099;0,0001009;8,92e-05;7,61e-05;6,28e-05;4,95e-05
;24;1,48e-05;1,92e-05;2,54e-05;2,93e-05;4,78e-05;4,91e-05;5,16e-05;5,44e-05;4,54e-05;4,48e-05;3,38e-05;2,9e-05;2,36e-05;1,62e-05;1,34e-05;-8e-06
;36;1,76e-05;2,12e-05;4,24e-05;6,24e-05;6,64e-05;6,86e-05;6,96e-05;6,49e-05;7,09e-05;6,03e-05;7,78e-05;7,1e-05;6,05e-05;2,06e-05;2,76e-05;8,6e-06
;48;2,59e-05;3,22e-05;4,55e-05;7,22e-05;7,69e-05;8,38e-05;9,03e-05;9,39e-05;9,65e-05;8,62e-05;9,36e-05;8,4e-05;4,49e-05;3,32e-05;6,5e-06;-1,21e-05
;66;3,67e-05;4,52e-05;4,91e-05;7,62e-05;8,28e-05;9,31e-05;0,0001018;0,0001048;0,0001116;0,0001062;0,000101;8,56e-05;6,52e-05;4,35e-05;3,12e-05;-4,39e-05
;84;3,29e-05;4,06e-05;3,76e-05;5,86e-05;6,58e-05;7,27e-05;8,17e-05;8,68e-05;9,52e-05;8,56e-05;8,38e-05;7,25e-05;5,79e-05;4,23e-05;5,2e-06;-8,46e-05
;102;-1,83e-05;-2,28e-05;-6,52e-05;-3,69e-05;-3,62e-05;-2,84e-05;-1,77e-05;-7e-07;2,22e-05;1,38e-05;1,65e-05;1,23e-05;3,8e-06;-4,5e-06;-5,15e-05;-0,0001453
;120;-3,76e-05;-4,71e-05;-0,0001046;-7,24e-05;-8,74e-05;-8,67e-05;-8,68e-05;-8,03e-05;-6,85e-05;-8,41e-05;-8,08e-05;-7,69e-05;-7,69e-05;-7,04e-05;-8,78e-05;-0,0001977
;144;-4,51e-05;-5,66e-05;-6,55e-05;-9,75e-05;-0,0001132;-0,0001146;-0,0001178;-0,0001214;-0,000112;-0,0001325;-0,0001363;-0,0001441;-0,0001592;-0,0001535;-0,0001489;-0,0002778
;168;-5,67e-05;-7,1e-05;-9,66e-05;-0,0001253;-0,000145;-0,0001502;-0,0001558;-0,0001524;-0,0001415;-0,000173;-0,0001745;-0,0001895;-0,0002052;-0,0002133;-0,0002033;-0,0003405
;192;-6,79e-05;-8,5e-05;-0,0001304;-0,0001369;-0,0001718;-0,0001784;-0,0001709;-0,0001813;-0,0001614;-0,0001928;-0,0002186;-0,0002317;-0,0002507;-0,0002567;-0,0002689;-0,000322
;216;-0,0001588;-0,0001621;-0,0001675;-0,0001728;-0,0001777;-0,0002203;-0,0002052;-0,0002066;-0,0001978;-0,0002363;-0,0002386;-0,0002495;-0,0002826;-0,0002732;-0,0003865;-0,0004939
;240;-0,0002016;-0,0002038;-0,0002073;-0,0002107;-0,0002138;-0,0002167;-0,0002099;-0,0002219;-0,0002134;-0,0002488;-0,0002489;-0,0002626;-0,0002611;-0,0002639;-0,0003948;-0,0003313
;264;-0,0002462;-0,0002471;-0,0002486;-0,00025;-0,0002928;-0,0002988;-0,0002502;-0,0002756;-0,000242;-0,0002895;-0,0002827;-0,0003233;-0,0003644;-0,0002791;-0,0003327;-0,0003593
;288;-0,0002917;-0,0002912;-0,0002904;-0,0002896;-0,0003174;-0,0003213;-0,0002746;-0,0003018;-0,0002659;-0,0003119;-0,000309;-0,0003445;-0,0003925;-0,0003079;-0,0003581;-0,0003857
;312;-0,0003374;-0,0003355;-0,0003323;-0,0003291;-0,0003445;-0,0003478;-0,0002976;-0,000327;-0,0002888;-0,0003414;-0,0003399;-0,0003789;-0,0004286;-0,0003356;-0,0003869;-0,0004113

;Cxb_cyl_fill_eng_spd
*
AXIS_PTS;;600;750;1000;1250;1500;1750;2100;2500;3000;3500;4000;4500;5000;5500;6000;6500

;Cxb_cyl_fill_intk_mfld_prs
*
